1150,Avengers: Age of Ultron,
1151,The Belko Experiment,
1152,The Curious Case of Benjamin Button,
1153,Knight of Cups,
1155,The Danish Girl,
1156,Keeping Up with the Joneses,
1157,Law Abiding Citizen,
1158,The Guest,
1159,The Autopsy of Jane Doe,
1160,Carol,
1161,Bonjour Anne,
1162,Ghosts of Girlfriends Past,
1163,12 Years a Slave,
1164,Burn After Reading,
1165,Sorority Row,
1166,The King's Speech,
1167,The X-Files: I Want to Believe,
1168,Morning Glory,
1169,Hercules,
1170,Mirrors,
1171,Lady in the Water,
1172,J.Edgar,
1173,USS Indianapolis: Men of Courage,
1174,A United Kingdom,
1175,Child 44,
1176,An Education,
1177,Assassin's Creed,
1121,Thor,adventure
1040,Gran Torino,drama
1045,No Country for Old Men,drama
1061,P.S. I Love You,romance
1113,Midnight in Paris,romance
1111,Changeling,thriller
1126,Warrior,thriller
1178,Brooklyn's Finest,
1179,Jackie,
1180,Sweeney Todd: The Demon Barber of Fleet Street,
1181,Lights Out,
1182,Zootopia,
1183,Stake Land,
1185,Swiss Army Man,
1186,PK,
1187,We Bought a Zoo,
1188,The Simpsons Movie,
1189,Captain America: Civil War,
1190,The Great Wall,
1191,Piranha 3-D,
1192,Machine Gun Preacher,
1194,Mr. Nobody,
1195,Kimi no na wa,
1196,The Dilemma,
1198,Whiskey Tango Foxtrot,
1199,The Secret Life of Walter Mitty,
1200,Melancholia,
1201,The Choice,
1202,"Crazy, Stupid, Love.",
1204,Dracula Untold,
1205,Role Models,
1206,Crawlspace,
1207,Bastille Day,
1208,The Daughter,
1210,Quarantine,
1211,Contratiempo,
1213,Children of Men,
1214,A Bigger Splash,
1215,Caf� Society,
1216,Mike and Dave Need Wedding Dates,
1218,Fantastic Mr. Fox,
1219,Vampires Suck,
1220,Lowriders,
1221,Marmaduke,
1222,The Devil Wears Prada,
1223,Colossal,
1224,The Debt,
1225,Public Enemies,
1226,I'm Still Here,
1228,The Thing,
1229,Priest,
1230,The Twilight Saga: Breaking Dawn - Part 1,
1231,Terminator Genisys,
1232,Kickboxer: Vengeance,
1233,The Tree Of Life,
1234,The Spectacular Now,
1235,Monster Trucks,
1236,The Hunger Games: Catching Fire,
1237,The Jungle Book,
1238,Lucy,
1239,Angry Birds,
1240,Into the Forest,
1242,Fantastic Four: Rise of the Silver Surfer,
1243,To Rome with Love,
1244,Devil's Knot,
1245,Crank: High Voltage,
1246,"10,000 B.C.",
1247,Away We Go,
1248,Blackhat,
1249,Aliens vs Predator - Requiem,
